version,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length,anomaly
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,3e0be5d1-ac46-409c-89c1-fd0b68a5911c,dbe1d15a8afd39578dc1c083e7c5c230,0fb658e4-7bf9-49a6-9e3e-722493aa43b0,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,a4a14753-c634-4802-a513-26cd8b672177,dbe1d15a8afd39578dc1c083e7c5c230,0fb658e4-7bf9-49a6-9e3e-722493aa43b0,addressbookbroker,restamqpgw,502.0,36,32,36,yes
1,internal,findall_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,4d3c0ea3-f8f9-4ef1-92b6-550bcde5c9d9,dbe1d15a8afd39578dc1c083e7c5c230,0fb658e4-7bf9-49a6-9e3e-722493aa43b0:b332bfa8-db25-426b-a224-422c051b653e,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,68d37213-a890-4037-b4b0-efc8b912359f,ad52faa570dd50f26bcb5b5760eea67d,4b3c50d4-fbd6-4a99-8dd0-858d007c53f8,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,424c2f45-be02-4f7e-96de-b790ea33da6a,ad52faa570dd50f26bcb5b5760eea67d,4b3c50d4-fbd6-4a99-8dd0-858d007c53f8,addressbookbroker,restamqpgw,204.0,36,32,36,no
1,internal,delete_contact_attribute,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,16c5b8d5-f190-4729-b6c4-7a02ae5b3357,ad52faa570dd50f26bcb5b5760eea67d,4b3c50d4-fbd6-4a99-8dd0-858d007c53f8:6ff0bce3-df27-49bb-8cd6-c21d8e09ef2c,addressbookbroker,restamqpgw,502.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,a9e436bb-3d69-42c8-943f-dc35bfdc55fc,d2cc1b794974965d38b10257bc350982,49990da8-f77f-4f8f-baca-edbda83850a2,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,a4f4a751-1095-4f83-8fbf-8c7b063cd4ef,d2cc1b794974965d38b10257bc350982,49990da8-f77f-4f8f-baca-edbda83850a2,addressbookbroker,restamqpgw,429.0,36,32,36,yes
1,internal,findall_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,2452d62f-0ce1-40c1-bcf6-e28892bdbf0b,d2cc1b794974965d38b10257bc350982,49990da8-f77f-4f8f-baca-edbda83850a2:1cefd965-9dae-4f4f-b0b8-0767ef4fbbe2,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,7d142c65-f831-4a0d-86a4-9b5a42d9c88f,f471855ce52540fbfb073b46604472f6,cd399a5b-cbad-4b2e-a45a-e999e3ebc293,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,9a75282e-09ed-483b-8066-7d57feb93336,f471855ce52540fbfb073b46604472f6,cd399a5b-cbad-4b2e-a45a-e999e3ebc293,addressbookbroker,restamqpgw,429.0,36,32,36,yes
1,internal,findall_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,4b56dfa2-faab-4580-ae80-0c9339bbeb4b,f471855ce52540fbfb073b46604472f6,cd399a5b-cbad-4b2e-a45a-e999e3ebc293:dccef101-bb72-4585-a28b-ec7b7e2281f9,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,d0c2972a-5b58-4cac-bd96-3339621cd392,ce153f919f171e8c993e85622ea606b0,4976d800-df58-4424-b693-61bcaa1642c5,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,03da9129-59fa-4904-b496-c1732fa64a6f,ce153f919f171e8c993e85622ea606b0,4976d800-df58-4424-b693-61bcaa1642c5,addressbookbroker,restamqpgw,429.0,36,32,36,yes
1,internal,delete_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,163c563d-15e5-42d2-87ab-2f5f0ad482b9,ce153f919f171e8c993e85622ea606b0,4976d800-df58-4424-b693-61bcaa1642c5:db11f66e-f35d-45eb-8e86-d2f506e1edb6,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,61e75f78-8376-40ef-8f36-282bfb7ed935,120e9829f86247e315f18fe4d520e188,e32fa9a6-b9e4-4fde-b29b-b0e75c3a0f9f,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,1d307bbf-1b57-4411-bb51-cfdcf1707192,120e9829f86247e315f18fe4d520e188,e32fa9a6-b9e4-4fde-b29b-b0e75c3a0f9f,addressbookbroker,restamqpgw,201.0,36,32,36,no
